id,address,match_type,suburb_name,sa2_code
3820,"1/8 Frances Street, Manurewa, Manukau City",containment_match,Manurewa East,160800
3289,"1/8 Walmer Road, Point Chevalier, Auckland City",containment_match,Point Chevalier West,129201
2321,"1/81 Oliver Road, Eastern Beach, Manukau City",containment_match,Eastern Beach,148000
3637,"1/9 Corrella Road, Belmont, North Shore City",containment_match,Belmont,129300
1414,"1/9 Kenderdine Road, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
258,"1/9 Luplau Crescent, Cockle Bay, Manukau City",containment_match,Cockle Bay,153400
1181,"1/9 Rewarewa Road, Te Atatu Peninsula, Waitakere City",containment_match,Te Atatū Peninsula East,125300
1969,"1/92 Rangitoto Road, Papatoetoe, Manukau City",containment_match,Papatoetoe West,154802
1458,"1/99 College Hill, Freemans Bay, Auckland City",containment_match,Freemans Bay,131801
825,"10  Scott Road, Hobsonville, Waitakere City",containment_match,Hobsonville,119201
728,"10 Abby Close, Pukekohe, Franklin",containment_match,Pukekohe West,165501
2115,"10 Allen Road, Grey Lynn, Auckland City",containment_match,Grey Lynn West,132100
955,"10 Amber Place, Waimauku, Rodney",containment_match,Waimauku,114201
116,"10 and 12 Turaki Lane, Kaipara Flats, Warkworth, Rodney",no_match,,
1106,"10 Aorangi Place, Birkenhead, North Shore City",containment_match,Birkenhead West,125201
2881,"10 Ardern Avenue, Stanmore Bay, Rodney",containment_match,Stanmore,327901
216,"10 Asquith Avenue, Mount Albert, Auckland City",containment_match,Mount Albert West,131900
1646,"10 Aumarire Lane, Favona, Manukau City",containment_match,Favona East,149400
3391,"10 Avalon Place, Glenfield, North Shore City",containment_match,Glenfield West,123100
1397,"10 Avon Street, Parnell, Auckland City",containment_match,Parnell East,137400
3605,"10 Barbary Avenue, Kelston, Waitakere City",containment_match,Kelston North,130500
909,"10 Beresford Street, Bayswater, North Shore City",containment_match,Bayswater,129400
239,"10 Bristol Road, Whenuapai, Waitakere City",containment_match,Whenuapai,117001
2133,"10 Carnac Place, Mangere East, Manukau City",containment_match,Māngere East,153301
1148,"10 Commerce Street, Auckland Central, Auckland City",no_match,,
3330,"10 Commerce Street, Auckland Central, Auckland City",no_match,,
2039,"10 Costley Street, Freemans Bay, Auckland City",containment_match,Freemans Bay,131801
3902,"10 Croppers Road, Clevedon, Manukau City",containment_match,Clevedon,162901
3753,"10 Drome View Place, Beach Haven, North Shore City",containment_match,Beach Haven West,121800
2067,"10 Elliot Street, Riverhead, Rodney",containment_match,Riverhead,115901
2389,"10 Ewen Street, Takapuna, North Shore City",containment_match,Takapuna West,126601
537,"10 Fausett Avenue, Pukekohe, Franklin",containment_match,Pukekohe West,165501
2420,"10 Fermier Greens, Millwater, Rodney",containment_match,Millwater North,112902
2796,"10 Glassonby Road, Northpark, Manukau City",containment_match,Northpark North,153700
150,"10 Great North Road, Riverhead, Rodney",containment_match,Riverhead,115901
3544,"10 Gull Lane, Mairangi Bay, North Shore City",containment_match,Mairangi Bay North,120500
2433,"10 Harper Street, Chatswood, North Shore City",containment_match,Chatswood,126300
1345,"10 Hillcrest Road, Orewa, Rodney",containment_match,Orewa West,112702
3036,"10 Hinemoa Place, Snells Beach, Rodney",containment_match,Snells Beach,111700
3892,"10 Honohono Avenue, Milldale, Rodney",containment_match,Milldale,113401
308,"10 Keel Street, Long Bay, North Shore City",containment_match,Long Bay,116500
3620,"10 Kowaitau Avenue, Beachlands, Manukau City",no_match,,
745,"10 Lucent Lane, Milldale, Rodney",containment_match,Milldale,113401
4114,"10 Lynn Place, Otara, Manukau City",containment_match,Ōtara West,153500
2093,"10 Marutuahu Road, Stonefields, Auckland City",containment_match,Stonefields West,144900
1011,"10 Melling Street, Glen Innes, Auckland City",containment_match,Glen Innes West,144700
496,"10 Millais Street, Grey Lynn, Auckland City",containment_match,Grey Lynn West,132100
2855,"10 Mountfield Terrace, Mount Albert, Auckland City",containment_match,Mount Albert West,131900
174,"10 Nevill Road, Hobsonville, Waitakere City",containment_match,Hobsonville,119201
3600,"10 Nihill Crescent, Mission Bay, Auckland City",containment_match,Mission Bay,141101
2669,"10 Notre Dame Way, Albany, North Shore City",containment_match,Albany West,117400
272,"10 Ohira Place, Henderson, Waitakere City",containment_match,Henderson West,126702
3422,"10 Peihinga Road, Flat Bush, Manukau City",no_match,,
2342,"10 Piha Road, Piha, Waitakere City",containment_match,Piha,124100
3363,"10 Puoro Street, Flat Bush, Manukau City",no_match,,
3734,"10 Remana Crescent, Huapai, Rodney",containment_match,Kumeū-Huapai South,115002
3777,"10 Rockfield Road, Ellerslie, Auckland City",containment_match,Ellerslie West,144201
3794,"10 Sierra Way, Ramarama, Franklin",containment_match,Mara,233900
3218,"10 Spotted Dove Road, Hobsonville, Waitakere City",containment_match,Hobsonville,119201
3991,"10 Starling Place, Ranui, Waitakere City",containment_match,Aranui,328600
2833,"10 Stredwick Drive, Torbay, North Shore City",containment_match,Torbay West,117201
1085,"10 Sylvia Road, St Heliers, Auckland City",no_match,,
2211,"10 Tuwai Crescent, Opaheke, Papakura",containment_match,Ōpaheke,164001
1278,"10 Waterloo Quadrant, Auckland Central, Auckland City",no_match,,
796,"10 Weston Avenue, Mount Albert, Auckland City",containment_match,Mount Albert West,131900
3583,"10 William Hadlow Place, Hatfields Beach, Rodney",containment_match,Hatfields Beach,112800
